PROJ.4.PROJECTION: "+proj=lcc +lat_2=50.569898649999999 +lat_1=50.569898649999999 +lon_0=4.553615160000000 +units=m +no_defs +a=6371229.0 +es=0.0"

PIXEL_ID LAMBERT_X LAMBERT_Y LAT LON
327 92500 6303014.18 50.27 5.855
328 97500 6303014.18 50.27 5.925
329 102500 6303014.18 50.269 5.996
330 107500 6303014.18 50.268 6.066
331 112500 6303014.18 50.267 6.136
332 117500 6303014.18 50.266 6.207
333 122500 6303014.18 50.265 6.277
334 -62500 6308014.18 50.319 3.673
335 -57500 6308014.18 50.32 3.744
336 -47500 6308014.18 50.321 3.885
337 -42500 6308014.18 50.321 3.955
338 -37500 6308014.18 50.321 4.025
339 -32500 6308014.18 50.322 4.096
340 -27500 6308014.18 50.322 4.166
341 -22500 6308014.18 50.322 4.237
342 -17500 6308014.18 50.322 4.307
343 -12500 6308014.18 50.322 4.378
344 -7500 6308014.18 50.323 4.448
345 -2500 6308014.18 50.323 4.518
346 2500 6308014.18 50.323 4.589
347 7500 6308014.18 50.323 4.659
348 12500 6308014.18 50.322 4.73
349 17500 6308014.18 50.322 4.8
350 22500 6308014.18 50.322 4.871
351 27500 6308014.18 50.322 4.941
352 32500 6308014.18 50.322 5.011
353 37500 6308014.18 50.321 5.082
354 42500 6308014.18 50.321 5.152
355 47500 6308014.18 50.321 5.223
356 52500 6308014.18 50.32 5.293
357 57500 6308014.18 50.32 5.363
358 62500 6308014.18 50.319 5.434
359 67500 6308014.18 50.319 5.504
360 72500 6308014.18 50.318 5.575
361 77500 6308014.18 50.317 5.645
362 82500 6308014.18 50.317 5.716
363 87500 6308014.18 50.316 5.786
364 92500 6308014.18 50.315 5.856
365 97500 6308014.18 50.314 5.927
366 102500 6308014.18 50.314 5.997
367 107500 6308014.18 50.313 6.068
368 112500 6308014.18 50.312 6.138
369 117500 6308014.18 50.311 6.208
370 122500 6308014.18 50.31 6.279
371 127500 6308014.18 50.309 6.349
372 132500 6308014.18 50.308 6.419
373 -62500 6313014.18 50.364 3.673
374 -57500 6313014.18 50.365 3.743
375 -52500 6313014.18 50.365 3.813
376 -47500 6313014.18 50.366 3.884
377 -42500 6313014.18 50.366 3.954
378 -37500 6313014.18 50.366 4.025
379 -32500 6313014.18 50.367 4.095
380 -27500 6313014.18 50.367 4.166
381 -22500 6313014.18 50.367 4.236
382 -17500 6313014.18 50.367 4.307
383 -12500 6313014.18 50.367 4.377
384 -7500 6313014.18 50.368 4.448
385 -2500 6313014.18 50.368 4.518
386 2500 6313014.18 50.368 4.589
387 7500 6313014.18 50.368 4.659
388 12500 6313014.18 50.367 4.73
389 17500 6313014.18 50.367 4.8
390 22500 6313014.18 50.367 4.871
391 27500 6313014.18 50.367 4.941
392 32500 6313014.18 50.367 5.012
393 37500 6313014.18 50.366 5.082
394 42500 6313014.18 50.366 5.153
395 47500 6313014.18 50.366 5.223
396 52500 6313014.18 50.365 5.294
397 57500 6313014.18 50.365 5.364
398 62500 6313014.18 50.364 5.435
399 67500 6313014.18 50.364 5.505
400 72500 6313014.18 50.363 5.576
401 77500 6313014.18 50.362 5.646
402 82500 6313014.18 50.362 5.717
403 87500 6313014.18 50.361 5.787
404 92500 6313014.18 50.36 5.858
405 97500 6313014.18 50.359 5.928
406 102500 6313014.18 50.359 5.999
407 107500 6313014.18 50.358 6.069
408 112500 6313014.18 50.357 6.139
409 117500 6313014.18 50.356 6.21
410 122500 6313014.18 50.355 6.28
411 127500 6313014.18 50.354 6.351
412 132500 6313014.18 50.353 6.421
413 -62500 6318014.18 50.409 3.672
414 -57500 6318014.18 50.41 3.742
415 -52500 6318014.18 50.41 3.813
416 -47500 6318014.18 50.411 3.883
417 -42500 6318014.18 50.411 3.954
418 -37500 6318014.18 50.411 4.024
419 -32500 6318014.18 50.412 4.095
420 -27500 6318014.18 50.412 4.166
421 -22500 6318014.18 50.412 4.236
422 -17500 6318014.18 50.412 4.307
423 -12500 6318014.18 50.412 4.377
424 -7500 6318014.18 50.412 4.448
425 -2500 6318014.18 50.413 4.518
426 2500 6318014.18 50.413 4.589
427 7500 6318014.18 50.412 4.659
428 12500 6318014.18 50.412 4.73
429 17500 6318014.18 50.412 4.801
430 22500 6318014.18 50.412 4.871
431 27500 6318014.18 50.412 4.942
432 32500 6318014.18 50.412 5.012
433 37500 6318014.18 50.411 5.083
434 42500 6318014.18 50.411 5.153
435 47500 6318014.18 50.411 5.224
436 52500 6318014.18 50.41 5.294
437 57500 6318014.18 50.41 5.365
